language,perturbation,model,n_samples,asr_wildguard,asr_llamaguard,ci_lower_95,ci_upper_95,tier
id,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.2318,0.0,0.1923,0.2765,tier3
id,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,0.0547,0.0,0.036,0.0822,tier3
id,translationese,meta-llama/Llama-3.1-8B-Instruct,384,0.0807,0.0,0.0575,0.1123,tier3
id,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.7422,0.0,0.6962,0.7834,tier3
ja,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.3516,0.0,0.3055,0.4006,tier2
ja,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,0.2682,0.0,0.2264,0.3147,tier2
ja,translationese,meta-llama/Llama-3.1-8B-Instruct,384,0.3672,0.0,0.3205,0.4165,tier2
ja,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.9948,0.0,0.9812,0.9986,tier2
jw,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.2292,0.0,0.1899,0.2738,tier4
jw,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,0.3151,0.0,0.2707,0.3632,tier4
jw,translationese,meta-llama/Llama-3.1-8B-Instruct,384,0.3646,0.0,0.318,0.4138,tier4
jw,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.5365,0.0,0.4865,0.5857,tier4
ko,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.4583,0.0,0.4092,0.5083,tier2
ko,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,0.2161,0.0,0.1779,0.26,tier2
ko,translationese,meta-llama/Llama-3.1-8B-Instruct,384,0.6042,0.0,0.5545,0.6518,tier2
ko,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.6927,0.0,0.6448,0.7368,tier2
minionese,minionese,meta-llama/Llama-3.1-8B-Instruct,384,0.3984,0.0,0.3507,0.4482,minionese
ru,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.0859,0.0,0.0618,0.1182,tier2
ru,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,0.0312,0.0,0.018,0.0538,tier2
ru,translationese,meta-llama/Llama-3.1-8B-Instruct,384,0.1354,0.0,0.1048,0.1733,tier2
ru,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.2422,0.0,0.202,0.2875,tier2
sw,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.7943,0.0,0.751,0.8317,tier3
sw,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,0.8281,0.0,0.7872,0.8626,tier3
sw,translationese,meta-llama/Llama-3.1-8B-Instruct,384,0.8594,0.0,0.821,0.8906,tier3
sw,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.5052,0.0,0.4554,0.5549,tier3
tr,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.6042,0.0,0.5545,0.6518,tier3
tr,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,0.513,0.0,0.4631,0.5626,tier3
tr,translationese,meta-llama/Llama-3.1-8B-Instruct,384,0.6797,0.0,0.6314,0.7244,tier3
tr,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.9766,0.0,0.9561,0.9876,tier3
yo,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.8203,0.0,0.7788,0.8555,tier4
yo,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,1.0,0.0,0.9901,1.0,tier4
yo,translationese,meta-llama/Llama-3.1-8B-Instruct,384,1.0,0.0,0.9901,1.0,tier4
yo,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.0234,0.0,0.0124,0.0439,tier4
zh,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.0964,0.0,0.0707,0.13,tier1
zh,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,0.0495,0.0,0.0319,0.076,tier1
zh,translationese,meta-llama/Llama-3.1-8B-Instruct,384,0.1719,0.0,0.1374,0.2128,tier1
zh,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.974,0.0,0.9527,0.9858,tier1
zu,code_switching,meta-llama/Llama-3.1-8B-Instruct,384,0.8516,0.0,0.8125,0.8836,tier4
zu,standard_translation,meta-llama/Llama-3.1-8B-Instruct,384,0.9714,0.0,0.9494,0.9839,tier4
zu,translationese,meta-llama/Llama-3.1-8B-Instruct,384,0.9453,0.0,0.9178,0.964,tier4
zu,transliteration,meta-llama/Llama-3.1-8B-Instruct,384,0.4557,0.0,0.4066,0.5057,tier4
